geonameid,name,asciiname,alternatenames,latitude,longitude,feature class,feature code,country code,cc2,admin1 code,admin2 code,admin3 code,admin4 code,population,elevation,dem,timezone,modification date
712041,Blyznyuky,Blyznyuky,"Blisnezy,Bliznetsy,Bliznjuki,Bliznyuki,Blyznyuky,Staryye Bliznetsy,Близнюки",48.85775,36.55505,P,PPLA2,UA,,7,,,,4824,,190,Europe/Kiev,2016-03-10
712050,Blizhneye,Blizhneye,"Blizhne,Blizhnee,Blizhneye,Blizhnjaja Bajbuga,Бли́жняя Байбуга́,Ближнее,Ближнє",45.05694,35.33056,P,PPL,UA,,11,8449683,,,2779,21,26,Europe/Simferopol,2016-05-23
712091,Blahodatne,Blahodatne,"Amurosievka,Amvrosiyevka,Blagodatne,Blagodatnoe,Blagodatnoye,Blahodatne,Donetsko-Amvrosiyevka,Благодатне,Благодатное",47.87928,38.48492,P,PPL,UA,,5,,,,3512,,64,Europe/Kiev,2014-08-06
712092,Blahodatne,Blahodatne,"Blagodatne,Blagodatnoe,Blagodatnoye,Blahodatne,Благодатне,Благодатное",47.70013,37.41898,P,PPL,UA,,5,,,,1263,,212,Europe/Kiev,2014-09-05
712131,Biryukove,Biryukove,"Birjukove,Birjukovo,Birjukowo,Birukove,Biryukove,Biryukovka,Biryukovo,Krinichnaya,Бирюково,Бірюкове",47.95631,39.73843,P,PPL,UA,,14,,,,4250,,204,Europe/Zaporozhye,2014-08-06
712160,Bilhorod-Dnistrovs’kyy,Bilhorod-Dnistrovs'kyy,"Akkerman,Belgorod-Dnestrovskij,Belgorod-Dnestrovskiy,Bilgorod-Dnistrovs'kij,Bilhorod-Dnistrovs'kyy,Bilhorod-Dnistrovs’kyy,Byelogorod,Cetatea Alba,Cetatea Albă,Белгород-Днестровский,Білгород-Дністровський",46.1952,30.34938,P,PPLA2,UA,,17,,,,50201,,20,Europe/Kiev,2014-11-05
712165,Bila Tserkva,Bila Tserkva,"Belaja Cerkov',Belaja Zerkow,Belaya Tserkov',Belaya Tserkov’,Belaya serkov,Biala Cerkiew,Biała Cerkiew,Bila Cerkva,Bila Cerkwa,Bila Terkva,Bila Tserkva,Bila Zerkwa,Bila Țerkva,Gorad Belaja Carkva,Shura Chirku,bai cai er ke wei,belaia-tserkʼovi,billacheleukeuba,byla tsrkfa,byla tsyrkfa,bylh zrqwwh,Белая Церковь,Била Церква,Біла Церква,Горад Белая Царква,Шурă Чиркӳ,Բելայա Ցերկով,בילה צרקווה,שווארצע טומאה,بيلا تسيركفا,بیلا تسرکفا,ბელაია-ცერკოვი,ビーラ・ツェールクヴァ,白采尔科维,빌라체르크바",49.80939,30.11209,P,PPLA2,UA,,13,,,,199163,,178,Europe/Kiev,2014-10-01
712181,Bezimenne,Bezimenne,"Bezimenne,Bezimennoye,Bezymennoe,Bezymennoye,Bezymenovka,Безыменное,Безіменне",47.10716,37.93815,P,PPL,UA,,5,,,,2638,,14,Europe/Kiev,2015-06-08
712200,Bezlyudivka,Bezlyudivka,"Besliwdifca,Besljudiwka,Bezlioudivka,Bezliountivka,Bezliudivka,Bezliúdivka,Bezljudivka,Bezljudovka,Bezludiwka,Bezluedivka,Bezlyudivka,Bezlyudovka,Bezlüdivka,Pasjolak Behzljudziuka,bie zi liu ji fu ka,byzlywdyfka,Μπεζλιουντίβκα,Безлиудивка,Безлюдовка,Безлюдівка,Бєꙁлюдовъка,Пасёлак Бэзлюдзіўка,Բեզլյուդովկա,بيزليوديفكا,別茲柳季夫卡",49.87547,36.26539,P,PPL,UA,,7,,,,9294,,105,Europe/Kiev,2014-01-12
712228,Donskoye,Donskoye,"Dons'ke,Donskoe,Donskoye,Kerneuch,Донское,Донське,Кернеу́ч",45.04509,34.21413,P,PPLA3,UA,,11,693803,11152605,,1997,275,271,Europe/Simferopol,2016-05-23
